LeaseNo	CustomerNo	UnitNumber	StartDate	EndDate
12435	3435	10201	2/11/2013	2/11/2015
12436	3436	10301	10/9/2012	10/10/2015
12437	3437	10501	1/2/2014	1/2/2015
13040	4040	60607	3/19/2014	3/20/2015
13041	4041	60707	9/29/2013	9/30/2015
13042	4042	60807	7/10/2012	7/11/2015
13317	4317	70210	2/14/2014	2/14/2015
13318	4318	70510	6/28/2013	6/29/2015
13821	3754	60204	5/26/2015	5/25/2016
13822	3768	70704	5/15/2015	5/14/2016
14458	4481	10505	12/3/2015	12/2/2016
14459	4489	40408	12/3/2015	12/2/2016
15595	6412	10905	2/2/2017	2/2/2018
16374	6034	70609	11/3/2017	11/3/2018
16908	6957	20705	6/3/2018	6/4/2019
18435	12865	50202	12/2/2019	12/1/2020
18436	12868	40110	12/2/2019	12/1/2020
18747	13365	90305	4/1/2020	
18748	13366	90908	4/1/2020	
18749	13367	90704	4/1/2020	
19189	9102	50608	9/4/2020	
19190	9107	20611	9/4/2020	
19428	14495	20811	12/1/2020	
19471	11340	60404	1/3/2021	
19659	14913	60105	3/1/2021	
19660	14918	51011	3/1/2021	
19670	14952	50401	3/1/2021	
