UnitNumber	UnitType	UnitPlan	Sqft	Floor
10101	STD	STD-S&A	450	1
10201	STD	STD-S&A	450	2
10301	STD	STD-S&A	450	3
10401	STD	STD-S&A	450	4
10501	STD	STD-S&A	450	5
10601	STD	STD-S&A	450	6
10701	STD	STD-S&A	450	7
10801	STD	STD-S&A	450	8
10901	STD	STD-S&A	450	9
11001	STD	STD-S&A	450	10
50102	STD	STD-S&B	450	1
50202	STD	STD-S&B	450	2
50302	STD	STD-S&B	450	3
50402	STD	STD-S&B	450	4
50502	STD	STD-S&B	450	5
50602	STD	STD-S&B	450	6
50702	STD	STD-S&B	450	7
50802	STD	STD-S&B	450	8
50902	STD	STD-S&B	450	9
51002	STD	STD-S&B	450	10
60102	STD	STD-S&B	450	1
60202	STD	STD-S&B	450	2
60302	STD	STD-S&B	450	3
60402	STD	STD-S&B	450	4
60502	STD	STD-S&B	450	5
60602	STD	STD-S&B	450	6
60702	STD	STD-S&B	450	7
60802	STD	STD-S&B	450	8
60902	STD	STD-S&B	450	9
61002	STD	STD-S&B	450	10
80104	STD	STD-M&A	650	1
80204	STD	STD-M&A	650	2
80304	STD	STD-M&A	650	3
80404	STD	STD-M&A	650	4
80504	STD	STD-M&A	650	5
80604	STD	STD-M&A	650	6
80704	STD	STD-M&A	650	7
80804	STD	STD-M&A	650	8
80904	STD	STD-M&A	650	9
81004	STD	STD-M&A	650	10
30105	STD	STD-M&B	650	1
30205	STD	STD-M&B	650	2
30305	STD	STD-M&B	650	3
30405	STD	STD-M&B	650	4
30505	STD	STD-M&B	650	5
30605	STD	STD-M&B	650	6
30705	STD	STD-M&B	650	7
30805	STD	STD-M&B	650	8
30905	STD	STD-M&B	650	9
31005	STD	STD-M&B	650	10
70106	STD	STD-L	850	1
70206	STD	STD-L	850	2
70306	STD	STD-L	850	3
70406	STD	STD-L	850	4
70506	STD	STD-L	850	5
70606	STD	STD-L	850	6
70706	STD	STD-L	850	7
70806	STD	STD-L	850	8
70906	STD	STD-L	850	9
71006	STD	STD-L	850	10
30107	1BR	1BR-S&A	750	1
30207	1BR	1BR-S&A	750	2
30307	1BR	1BR-S&A	750	3
30407	1BR	1BR-S&A	750	4
30507	1BR	1BR-S&A	750	5
30607	1BR	1BR-S&A	750	6
30707	1BR	1BR-S&A	750	7
30807	1BR	1BR-S&A	750	8
30907	1BR	1BR-S&A	750	9
31007	1BR	1BR-S&A	750	10
10109	1BR	1BR-L&A	1050	1
10209	1BR	1BR-L&A	1050	2
10309	1BR	1BR-L&A	1050	3
10409	1BR	1BR-L&A	1050	4
10509	1BR	1BR-L&A	1050	5
10609	1BR	1BR-L&A	1050	6
10709	1BR	1BR-L&A	1050	7
10809	1BR	1BR-L&A	1050	8
10909	1BR	1BR-L&A	1050	9
11009	1BR	1BR-L&A	1050	10
10111	2BR	2BR-S	1250	1
10211	2BR	2BR-S	1250	2
10311	2BR	2BR-S	1250	3
10411	2BR	2BR-S	1250	4
10511	2BR	2BR-S	1250	5
10611	2BR	2BR-S	1250	6
10711	2BR	2BR-S	1250	7
10811	2BR	2BR-S	1250	8
10911	2BR	2BR-S	1250	9
11011	2BR	2BR-S	1250	10
20111	2BR	2BR-S	1250	1
20211	2BR	2BR-S	1250	2
20311	2BR	2BR-S	1250	3
20411	2BR	2BR-S	1250	4
20511	2BR	2BR-S	1250	5
20611	2BR	2BR-S	1250	6
20711	2BR	2BR-S	1250	7
20811	2BR	2BR-S	1250	8
20911	2BR	2BR-S	1250	9
21011	2BR	2BR-S	1250	10
