UnitPlan	StartDate	EndDate	RentRate									
STD-S&A	12/1/2014	12/31/2014	1438									
STD-S&B	12/1/2014	12/31/2014	1438									
STD-S&C	12/1/2014	12/31/2014	1438									
STD-M&A	12/1/2014	12/31/2014	1770									
STD-M&B	12/1/2014	12/31/2014	1770									
STD-L	12/1/2014	12/31/2014	1972									
1BR-S&A	12/1/2014	12/31/2014	1837									
1BR-S&B	12/1/2014	12/31/2014	1837									
1BR-L&A	12/1/2014	12/31/2014	2023									
1BR-L&B	12/1/2014	12/31/2014	2023									
2BR-S	12/1/2014	12/31/2014	2194									
STD-S&A	1/1/2015	1/31/2015	1471									
STD-S&B	1/1/2015	1/31/2015	1471									
STD-S&C	1/1/2015	1/31/2015	1471									
STD-M&A	1/1/2015	1/31/2015	1811									
STD-M&B	1/1/2015	1/31/2015	1811									
STD-L	1/1/2015	1/31/2015	2018									
1BR-S&A	1/1/2015	1/31/2015	1813									
1BR-S&B	1/1/2015	1/31/2015	1813									
1BR-L&A	1/1/2015	1/31/2015	1996									
1BR-L&B	1/1/2015	1/31/2015	1996									
2BR-S	1/1/2015	1/31/2015	2236									
STD-S&A	2/1/2015	3/1/2015	1500									
STD-S&B	2/1/2015	3/1/2015	1500									
STD-S&C	2/1/2015	3/1/2015	1500									
STD-M&A	2/1/2015	3/1/2015	1846									
STD-M&B	2/1/2015	3/1/2015	1846									
STD-L	2/1/2015	3/1/2015	2058									
1BR-S&A	2/1/2015	3/1/2015	1836									
1BR-S&B	2/1/2015	3/1/2015	1836									
1BR-L&A	2/1/2015	3/1/2015	2022									
1BR-L&B	2/1/2015	3/1/2015	2022									
2BR-S	2/1/2015	3/1/2015	2245									
STD-S&A	3/2/2015	4/1/2015	1530									
STD-S&B	3/2/2015	4/1/2015	1530									
STD-S&C	3/2/2015	4/1/2015	1530									
STD-M&A	3/2/2015	4/1/2015	1883									
STD-M&B	3/2/2015	4/1/2015	1883									
STD-L	3/2/2015	4/1/2015	2098									
1BR-S&A	3/2/2015	4/1/2015	1849									
1BR-S&B	3/2/2015	4/1/2015	1849									
1BR-L&A	3/2/2015	4/1/2015	2036									
1BR-L&B	3/2/2015	4/1/2015	2036									
2BR-S	3/2/2015	4/1/2015	2056									
STD-S&A	4/2/2015	5/1/2015	1510									
STD-S&B	4/2/2015	5/1/2015	1510									
STD-S&C	4/2/2015	5/1/2015	1510									
STD-M&A	4/2/2015	5/1/2015	1859									
STD-M&B	4/2/2015	5/1/2015	1859									
STD-L	4/2/2015	5/1/2015	2071									
1BR-S&A	4/2/2015	5/1/2015	1800									
1BR-S&B	4/2/2015	5/1/2015	1800									
1BR-L&A	4/2/2015	5/1/2015	1983									
1BR-L&B	4/2/2015	5/1/2015	1983									
2BR-S	4/2/2015	5/1/2015	1980									
STD-S&A	5/2/2015	6/1/2015	1517									
STD-S&B	5/2/2015	6/1/2015	1517									
STD-S&C	5/2/2015	6/1/2015	1517									
STD-M&A	5/2/2015	6/1/2015	1868									
STD-M&B	5/2/2015	6/1/2015	1868									
STD-L	5/2/2015	6/1/2015	2081									
1BR-S&A	5/2/2015	6/1/2015	1801									
1BR-S&B	5/2/2015	6/1/2015	1801									
1BR-L&A	5/2/2015	6/1/2015	1983									
1BR-L&B	5/2/2015	6/1/2015	1983									
2BR-S	5/2/2015	6/1/2015	1902									
STD-S&A	6/2/2015	7/1/2015	1491									
STD-S&B	6/2/2015	7/1/2015	1491									
STD-S&C	6/2/2015	7/1/2015	1491									
STD-M&A	6/2/2015	7/1/2015	1836									
STD-M&B	6/2/2015	7/1/2015	1836									
STD-L	6/2/2015	7/1/2015	2045									
1BR-S&A	6/2/2015	7/1/2015	1838									
1BR-S&B	6/2/2015	7/1/2015	1838									
1BR-L&A	6/2/2015	7/1/2015	2024									
1BR-L&B	6/2/2015	7/1/2015	2024									
2BR-S	6/2/2015	7/1/2015	1943									
STD-S&A	7/2/2015	8/1/2015	1482									
STD-S&B	7/2/2015	8/1/2015	1482									
STD-S&C	7/2/2015	8/1/2015	1482									
STD-M&A	7/2/2015	8/1/2015	1825									
STD-M&B	7/2/2015	8/1/2015	1825									
STD-L	7/2/2015	8/1/2015	2033									
1BR-S&A	7/2/2015	8/1/2015	1831									
1BR-S&B	7/2/2015	8/1/2015	1831									
1BR-L&A	7/2/2015	8/1/2015	2017									
1BR-L&B	7/2/2015	8/1/2015	2017									
